"BD Feedback: 
Reported to Merchant (Y/N)","BD Feedback: 
Price Match (Y/N)","BD Feedback
(if price match is not allowed)",BD feedback if any,Feedback Date,Report Date,responsible_bd,BU_Level_1,segment,AID,activity_name,PKG ID,package_name,SKU ID,sku_name,selling_currency,klook_cost,retail price,klook_price,klook price after auto priced,BML ,competitor_price,competitor_code,competitor_package,Pariticipation Date,URL,Country,Price diff.,Price variance%,Take Rate,TR after price matched
FALSE,FALSE,,,,2024-05-27,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68709,Mirror Maze + Free Canopy Park,825872000401,Adult,KRW,11400,19000,16000,,LOSE,12626,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/134061,Singapore,-3374,-21.09%,28.75%,9.71%
FALSE,FALSE,,,,2024-05-27,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68712,Walking Net + Free Canopy Park,825872000501,Adult,KRW,11400,19000,16000,,LOSE,12626,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/134061,Singapore,-3374,-21.09%,28.75%,9.71%
FALSE,FALSE,,,,2024-05-27,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68715,Bouncing Net + Free Canopy Park,825872000601,Adult,KRW,15000,25100,21000,,LOSE,16692,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/134061,Singapore,-4308,-20.51%,28.57%,10.14%
FALSE,FALSE,,,,2024-05-27,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,270240,One-Day Admission,828951406768,Adult,MYR,256.95,288.19,288.19,289.65,LOSE,267.8,traveloka,1-Day Entrance Ticket,2024-05-27,https://www.traveloka.com/en-sg/activities/singapore/product/universal-studios-singapore-4575897507406,Singapore,-20.39,-7.08%,10.84%,4.05%
FALSE,FALSE,,,,2024-05-27,nicholas.kang@klook.com,Attractions,Segment 1,119,"S.E.A. Aquarium Ticket Sentosa, Singapore",394322,S.E.A. Aquarium One-Day Ticket with 3D Ice-Cream ,828951682910,Adult,SGD,46.5,49.5,49.5,,BELOW COST,43.5,trip,Admission Ticket + 3D Ice Cream Adult Ticket,2024-05-28,https://www.trip.com/travel-guide/attraction/singapore/sea-aquarium-101913/,Singapore,-6,-12.12%,6.06%,-6.90%
FALSE,FALSE,,,,2024-05-27,nicholas.kang@klook.com,Attractions,Segment 1,10552,Marina Bay Sands Skypark Observation Deck,23109,"Admission to Sands Skypark (Entry before 4pm, timeslot based)",828951338670,Adult,SGD,30,32,32,,BELOW COST,28,traveloka,SkyPark Observation Deck Entrance (Entry before 4PM),2024-05-27,https://www.traveloka.com/en-en/activities/singapore/product/marina-bay-sands-skypark-observation-deck-1000767877110,Singapore,-4,-12.50%,6.25%,-7.14%
FALSE,FALSE,,,,2024-05-27,nicholas.kang@klook.com,Attractions,Segment 1,10552,Marina Bay Sands Skypark Observation Deck,23109,"Admission to Sands Skypark (Entry before 4pm, timeslot based)",828951338670,Adult,SGD,30,32,32,,LOSE,30,trip,Ticket Adult Ticket,2024-05-28,https://www.trip.com/travel-guide/attraction/singapore/marina-bay-sands-10354609/,Singapore,-2,-6.25%,6.25%,0.00%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,185,Flower Dome & Cloud Forest,828951581566,Adult(Non-Resident),TWD,428,760,760,,LOSE,699,kkday,Flower Dome + Cloud Forest,2024-05-28,https://www.kkday.com/en/product/3158,Singapore,-61,-8.03%,43.68%,38.77%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,185,Flower Dome & Cloud Forest,828951581566,Adult(Non-Resident),TWD,428,760,760,,LOSE,689,trip,Cloud Forest + Flower Dome Adult Ticket,2024-05-29,https://www.trip.com/travel-guide/attraction/singapore/gardens-by-the-bay-94795/,Singapore,-71,-9.34%,43.68%,37.88%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,160985,Floral Fantasy,828951271726,Adult(Non-Resident),IDR,94531,236329,236329,214692,LOSE,149960,traveloka,Floral Fantasy Entrance Ticket (International Tourists),2024-05-27,https://www.traveloka.com/en-en/activities/singapore/product/gardens-by-the-bay-5030931490063,Singapore,-86369,-36.55%,60.00%,36.96%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,160985,Floral Fantasy,828951271726,Adult(Non-Resident),TWD,190,475,475,,LOSE,431,trip,Floral Fantasy Adult Ticket,2024-05-28,https://www.trip.com/travel-guide/attraction/singapore/gardens-by-the-bay-94795/,Singapore,-44,-9.26%,60.00%,55.92%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,256331,Flower Dome & Supertree Observatory,828951374135,Adult(Non-Resident),KRW,18100,34200,34200,,LOSE,32000,kkday,Flower Dome + Supertree Observatory,2024-05-28,https://www.kkday.com/en/product/3158,Singapore,-2200,-6.43%,47.08%,43.44%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,256331,Flower Dome & Supertree Observatory,828951374135,Adult(Non-Resident),TWD,428,808,808,,LOSE,736,trip,Flower Dome & Supertree Observatory Adult Ticket,2024-05-29,https://www.trip.com/travel-guide/attraction/singapore/gardens-by-the-bay-94795/,Singapore,-72,-8.91%,47.03%,41.85%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,345828,Outdoor Audio Tour (Tram),828951572640,Adult,TWD,202,238,238,,LOSE,218,kkday,Add On: 20 Minutes Tram Ride English / Chinese Audio Tour at Gardens by the Bay,2024-05-27,https://www.kkday.com/en/product/3158,Singapore,-20,-8.40%,15.13%,7.34%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,T&A,,6116,Bungy Jump & The New Tandem Bungy at Skypark Sentosa,247842,Tandem Bungy Jump (2 Pax),828951355480,2 Pax,KRW,206400,230600,230600,,BELOW COST,203041,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/110121,Singapore,-27559,-11.95%,10.49%,-1.65%
FALSE,FALSE,,,,2024-05-27,vivian.tan@klook.com,T&A,,6116,Bungy Jump & The New Tandem Bungy at Skypark Sentosa,248480,[35% OFF] Bungy Jump,828951357075,Person,KRW,79800,170200,109800,,LOSE,100356,myrealtrip,,2024-05-27,https://www.myrealtrip.com/offers/110121,Singapore,-9444,-8.60%,27.32%,20.48%
FALSE,FALSE,,,,2024-05-28,beiyi.lim@klook.com,Attractions,Segment 2,123,Bird Paradise Ticket in Singapore,170,[Open Dated] Admission Ticket (Local Residents),828951443942,Adult,HKD,238,284,284,,LOSE,267,kkday,Bird Paradise Admission Ticket,2024-05-28,https://www.kkday.com/en/product/2967-bird-paradise-ticket-singapore,Singapore,-17,-5.99%,16.20%,10.86%
FALSE,FALSE,,,,2024-05-28,beiyi.lim@klook.com,Attractions,Segment 2,124,River Wonders Singapore Ticket,171,[Open Dated] Admission Ticket (Local residents),8001240101,Adult,KRW,36300,43400,43400,43100,LOSE,40723,kkday,River Wonders Admission Ticket,2024-05-28,https://www.kkday.com/en/product/100153-river-wonders-ticket-river-safari-singapore,Singapore,-2677,-6.17%,16.36%,10.86%
FALSE,FALSE,,,,2024-05-28,beiyi.lim@klook.com,Attractions,Segment 2,124,River Wonders Singapore Ticket,220960,[Open Dated] Admission Ticket (Non-residents) ,828951291999,Adult,KRW,36100,43400,43400,43100,LOSE,40723,kkday,River Wonders Admission Ticket,2024-05-28,https://www.kkday.com/en/product/100153-river-wonders-ticket-river-safari-singapore,Singapore,-2677,-6.17%,16.82%,11.35%
FALSE,FALSE,,,,2024-05-28,beiyi.lim@klook.com,Attractions,Segment 3,1347,"Science Centre Singapore, Omni Theatre, KidsSTOP Ticket",221072,Combo Ticket: Science Centre + KidsSTOP,828951292241,Accompanying Adult,KRW,17200,25200,20200,,LOSE,19179,kkday,[Bundle Promo: 25% Off] Science Centre Singapore & KidsSTOP™ Admission Ticket,2024-05-28,https://www.kkday.com/en/product/103520,Singapore,-1021,-5.05%,14.85%,10.32%
FALSE,FALSE,,,,2024-05-28,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,270240,One-Day Admission,828951406768,Adult,KRW,74700,83800,83800,,LOSE,77600,myrealtrip,,2024-05-28,https://www.myrealtrip.com/offers/128279,Singapore,-6200,-7.40%,10.86%,3.74%
FALSE,FALSE,,,,2024-05-28,nicholas.kang@klook.com,Attractions,Segment 1,119,"S.E.A. Aquarium Ticket Sentosa, Singapore",285608,S.E.A. Aquarium One-Day Ticket,828951442486,Adult,THB,1113,1194,1194,1193,BELOW COST,1111.47,trip,S.E.A. Aquarium Admission Ticket Adult Ticket,2024-05-29,https://www.trip.com/travel-guide/attraction/singapore/sea-aquarium-101913/,Singapore,-82.53,-6.91%,6.78%,-0.14%
FALSE,FALSE,,,,2024-05-28,nicholas.kang@klook.com,Attractions,Segment 3,2121,Fun Discovery Pass at Sentosa,34969,Fun Discovery Pass 95 Tokens,8021210601,Person,SGD,74.05,90,81,,LOSE,76.5,trip,Sentosa Sentosa Fun Discovery Pass Standard Ticket,2024-05-29,https://www.trip.com/travel-guide/attraction/singapore/sentosa-82520/,Singapore,-4.5,-5.56%,8.58%,3.20%
FALSE,FALSE,,,,2024-05-28,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,185,Flower Dome & Cloud Forest,828951581566,Adult(Non-Resident),IDR,214423,381196,381196,,LOSE,316710,traveloka,Flower Dome + Cloud Forest (International Tourists),2024-05-28,https://www.traveloka.com/en-en/activities/singapore/product/gardens-by-the-bay-5030931490063,Singapore,-64486,-16.92%,43.75%,32.30%
FALSE,FALSE,,,,2024-05-28,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,256331,Flower Dome & Supertree Observatory,828951374135,Adult(Non-Resident),IDR,214423,405021,405021,,LOSE,360640,traveloka,[COMBO] Flower Dome & Supertree Observatory (International Tourists),2024-05-28,https://www.traveloka.com/en-en/activities/singapore/product/gardens-by-the-bay-5030931490063,Singapore,-44381,-10.96%,47.06%,40.54%
FALSE,FALSE,,,,2024-05-29,chloe.ang@klook.com,Attractions,Segment 1,130,Singapore Cable Car Sky Pass,186,Cable Car Sky Pass (Round Trip) ,8001300101,Adult,USD,13.35,25.99,23.39,23.35,LOSE,21.27,viator,Cable Car Sky Pass,2024-05-29,https://www.viator.com/tours/Singapore/Singapore-Cable-Car-Sky-Pass/d60449-57373P16,Singapore,-2.12,-9.06%,42.92%,37.24%
FALSE,FALSE,,,,2024-05-29,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,270240,One-Day Admission,828951406768,Adult,PHP,3187,3575,3575,3578,LOSE,3398.33,trip,Admission Ticket Adult Ticket,2024-05-30,https://www.trip.com/travel-guide/attraction/singapore/universal-studios-singapore-89732/,Singapore,-176.67,-4.94%,10.85%,6.22%
FALSE,FALSE,,,,2024-05-29,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,394298,One-Day Admission Ticket + 2x Naruto Retail Vouchers,828951682869,Adult,PHP,3187,3575,3575,3578,LOSE,3398.33,trip,Admission Ticket (With 2 Free Naruto Retail Voucher) Adult Ticket,2024-05-30,https://www.trip.com/travel-guide/attraction/singapore/universal-studios-singapore-89732/,Singapore,-176.67,-4.94%,10.85%,6.22%
FALSE,FALSE,,,,2024-05-29,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,160985,Floral Fantasy,828951271726,Adult(Non-Resident),KRW,8100,20200,20200,,LOSE,16834,myrealtrip,,2024-05-29,https://www.myrealtrip.com/offers/53321,Singapore,-3366,-16.66%,59.90%,51.88%
FALSE,FALSE,,,,2024-05-30,chloe.ang@klook.com,Attractions,Segment 2,135,Wings of Time Show Ticket in Singapore,286204,[Open Dated] 20% OFF Wings of Time Premium Seat + Good Old Days Asian Buffet,828951443744,Person,IDR,408607,660981,560031,,LOSE,444608,trip,Wings of Time (Premium Seat) + Good Old Days Buffet Standard Ticket,2024-05-31,https://www.trip.com/travel-guide/attraction/singapore/wings-of-time-13384526/,Singapore,-115423,-20.61%,27.04%,8.10%
FALSE,FALSE,,,,2024-05-30,chloe.ang@klook.com,Attractions,Segment 2,135,Wings of Time Show Ticket in Singapore,289213,[Sentosa Bundle] Wings of Time (Standard) Ticket,828951450452,Person,IDR,132196,228339,205505,,BELOW COST,131118,trip,Ticket(Standard Seat),2024-05-31,https://www.trip.com/travel-guide/attraction/singapore/wings-of-time-13384526/,Singapore,-74387,-36.20%,35.67%,-0.82%
FALSE,FALSE,,,,2024-05-30,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,270240,One-Day Admission,828951406768,Adult,SGD,74,83,83,83,BELOW MSP,79,kkday,Universal Studios Singapore Ticket,2024-05-30,https://www.kkday.com/en/product/2312-universal-studios-singapore-ticket,Singapore,-4,-4.82%,10.84%,6.33%
FALSE,FALSE,,,,2024-05-30,nicholas.kang@klook.com,Attractions,Segment 3,1182,Madame Tussauds Singapore Ticket,269291,[Summer Soiree 30% Off] Standard Ticket + Marvel Universe 4D + Digiphoto,828951404772,Person,USD,17.75,35.55,31.09,31.15,LOSE,24.87,trip,Standard Ticket+Marvel 4D+Digiphoto Standard Ticket,2024-05-31,https://us.trip.com/travel-guide/attraction/singapore/madame-tussauds-singapore-15043697/,Singapore,-6.22,-20.01%,42.91%,28.63%
FALSE,FALSE,,,,2024-05-31,beiyi.lim@klook.com,Attractions,Segment 3,1347,"Science Centre Singapore, Omni Theatre, KidsSTOP Ticket",221072,Combo Ticket: Science Centre + KidsSTOP,828951292241,Accompanying Adult,IDR,204322,300474,240379,,LOSE,227050,traveloka,[Bundle Promo] Science Centre Singapore & KidsSTOP Singapore Admission Ticket,2024-06-11,https://www.traveloka.com/en-sg/activities/singapore/product/science-centre-singapore-1000317900454,Singapore,-13329,-5.54%,15.00%,10.01%
FALSE,FALSE,,,,2024-05-31,chloe.ang@klook.com,Attractions,Segment 3,21054,Pororo Park Singapore Ticket,378433,Additional Adult Ticket,828951649853,Adult (12 years old and above),HKD,70,70,70,,BELOW COST,69,kkday,[Open Date] Additional Adult (3 Hours Playtime),2024-05-31,https://www.kkday.com/en/product/103971,Singapore,-1,-1.43%,0.00%,-1.45%
FALSE,FALSE,,,,2024-05-31,saiseong.chue@klook.com,Attractions,Segment 3,1348,Snow City Singapore Ticket,60587,Snow Play Session (1 Hour) + 1 Ice Bumper Car Ride ,801348000201,Person,HKD,78,145,92,108,LOSE,91,kkday,[Open Date] 1-Hour / 2-Hour Snow Play Session + Bumper Car,2024-06-01,https://www.kkday.com/en/product/13923,Singapore,-1,-1.09%,15.22%,14.29%
FALSE,FALSE,,,,2024-06-01,chloe.ang@klook.com,Attractions,Segment 3,21054,Pororo Park Singapore Ticket,378433,Additional Adult Ticket,828951649853,Adult (12 years old and above),IDR,144348,144348,144348,,BELOW COST,142878,trip,Pororo Park Singapore 3 hour ticket Adult Ticket,2024-06-02,https://sg.trip.com/travel-guide/attraction/singapore/pororo-park-singapore-30776563/,Singapore,-1470,-1.02%,0.00%,-1.03%
FALSE,FALSE,,,,2024-06-02,chloe.ang@klook.com,Attractions,Segment 2,135,Wings of Time Show Ticket in Singapore,191,[Open Dated] Wings of Time (Standard) Ticket,8001350101, Per Person,KRW,11200,19400,17500,,LOSE,16600,kkday,Wings of Time Ticket,2024-06-02,https://www.kkday.com/en/product/19491-sentosa-wings-of-time-ticket,Singapore,-900,-5.14%,36.00%,32.53%
FALSE,FALSE,,,,2024-06-02,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,341590,"VIP Experiences (Admission, Unlimited Express Pass & Guided Tour Included) - Peak Date",828951563723,Adult,SGD,361.2,398,398,,BELOW COST,358,traveloka,[Peak] VIP Tour Experience,2024-07-01,https://www.traveloka.com/en-sg/activities/singapore/product/universal-studios-singapore-4575897507406,Singapore,-40,-10.05%,9.25%,-0.89%
FALSE,FALSE,,,,2024-06-03,beiyi.lim@klook.com,Attractions,Segment 1,141,Singapore Zoo Ticket With Tram Ride,198,[Open Dated] Admission Ticket with Tram Ride (Local Residents),8001410101,Adult,MYR,142.75,170.45,170.45,,LOSE,153.6,traveloka,[Fixed-Date] Entrance Ticket - Includes Tram (Singapore Residents),2024-06-04,https://www.traveloka.com/en-sg/activities/singapore/product/singapore-zoo-tickets-8382168721460,Singapore,-16.85,-9.89%,16.25%,7.06%
FALSE,FALSE,,,,2024-06-03,beiyi.lim@klook.com,Attractions,Segment 3,1347,"Science Centre Singapore, Omni Theatre, KidsSTOP Ticket",221072,Combo Ticket: Science Centre + KidsSTOP,828951292241,Accompanying Adult,MYR,59.15,86.95,69.59,,LOSE,66,kkday,[Bundle Promo: 25% Off] Science Centre Singapore & KidsSTOP™ Admission Ticket,2024-06-11,https://www.kkday.com/en/product/103520-singapore-science-centre-ticket,Singapore,-3.59,-5.16%,15.00%,10.38%
FALSE,FALSE,,,,2024-06-03,chloe.ang@klook.com,Attractions,Segment 1,130,Singapore Cable Car Sky Pass,393547,Cable Car Sky Pass (Mount Faber Line only),828951681264,Child,TWD,336,528,475,476,LOSE,437,kkday,Cable Car Sky Pass (Mount Faber Line - Round Trip),2024-06-04,https://www.kkday.com/en/product/17933,Singapore,-38,-8.00%,29.26%,23.11%
FALSE,FALSE,,,,2024-06-03,chloe.ang@klook.com,Attractions,Segment 2,135,Wings of Time Show Ticket in Singapore,286204,[Open Dated] 20% OFF Wings of Time Premium Seat + Good Old Days Asian Buffet,828951443744,Person,IDR,408394,660637,559740,,LOSE,444127,trip,Wings of Time (Premium Seat) + Good Old Days Buffet Standard Ticket,2024-06-04,https://www.trip.com/travel-guide/attraction/singapore/wings-of-time-13384526/,Singapore,-115613,-20.65%,27.04%,8.05%
FALSE,FALSE,,,,2024-06-03,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68562,Canopy Park,825872000101,Adult,KRW,4900,11200,9200,,LOSE,5457,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/134061,Singapore,-3743,-40.68%,46.74%,10.21%
FALSE,FALSE,,,,2024-06-03,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68567,Mastercard® Canopy Bridge + Free Canopy Park ,825872000201,Adult,KRW,8500,14200,12200,,LOSE,9416,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/134061,Singapore,-2784,-22.82%,30.33%,9.73%
FALSE,FALSE,,,,2024-06-03,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68704,Hedge Maze + Free Canopy Park,825872000301,Adult,KRW,8500,14200,12200,,LOSE,9416,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/134061,Singapore,-2784,-22.82%,30.33%,9.73%
FALSE,FALSE,,,,2024-06-03,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68709,Mirror Maze + Free Canopy Park,825872000401,Adult,KRW,11500,19300,16200,,LOSE,12840,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/134061,Singapore,-3360,-20.74%,29.01%,10.44%
FALSE,FALSE,,,,2024-06-03,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68712,Walking Net + Free Canopy Park,825872000501,Adult,KRW,11500,19300,16200,,LOSE,12840,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/134061,Singapore,-3360,-20.74%,29.01%,10.44%
FALSE,FALSE,,,,2024-06-03,fynn.loh@klook.com,Attractions,Segment 2,25872,Jewel Changi Airport Attraction Ticket in Singapore,68715,Bouncing Net + Free Canopy Park,825872000601,Adult,KRW,15200,25400,21400,,LOSE,16906,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/134061,Singapore,-4494,-21.00%,28.97%,10.09%
FALSE,FALSE,,,,2024-06-03,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,270240,One-Day Admission,828951406768,Adult,KRW,75600,84800,84800,,LOSE,77600,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/128279,Singapore,-7200,-8.49%,10.85%,2.58%
FALSE,FALSE,,,,2024-06-03,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,270240,One-Day Admission,828951406768,Adult,KRW,75600,84800,84800,,LOSE,77600,kkday,Universal Studios Singapore Ticket,2024-06-03,https://www.kkday.com/en/product/2312,Singapore,-7200,-8.49%,10.85%,2.58%
FALSE,FALSE,,,,2024-06-03,nicholas.kang@klook.com,Attractions,Segment 0,117,Universal Studios Singapore Ticket,394298,One-Day Admission Ticket + 2x Naruto Retail Vouchers,828951682869,Adult,MYR,257.39,288.69,288.69,288.69,LOSE,267.4,traveloka,1-Day Entrance Ticket with Free Entry to Naruto Exhibition (Valid on 22 April - 30 June 2024),2024-06-03,https://www.traveloka.com/en-en/activities/singapore/product/universal-studios-singapore-4575897507406,Singapore,-21.29,-7.37%,10.84%,3.74%
FALSE,FALSE,,,,2024-06-03,vivian.tan@klook.com,Attractions,Segment 1,127,Gardens by the Bay Ticket in Singapore,160985,Floral Fantasy,828951271726,Adult(Non-Resident),KRW,8200,20400,20400,,LOSE,17729,myrealtrip,,2024-06-03,https://www.myrealtrip.com/offers/53321,Singapore,-2671,-13.09%,59.80%,53.75%
FALSE,FALSE,,,,2024-06-04,vivian.tan@klook.com,T&A,,6116,Bungy Jump & The New Tandem Bungy at Skypark Sentosa,247842,Tandem Bungy Jump (2 Pax),828951355480,2 Pax,KRW,208900,233400,233400,,BELOW COST,205020,myrealtrip,,2024-06-04,https://www.myrealtrip.com/offers/110121,Singapore,-28380,-12.16%,10.50%,-1.89%
FALSE,FALSE,,,,2024-06-04,vivian.tan@klook.com,T&A,,6116,Bungy Jump & The New Tandem Bungy at Skypark Sentosa,248480,[35% OFF] Bungy Jump,828951357075,Person,KRW,80700,172200,111100,,LOSE,101335,myrealtrip,,2024-06-04,https://www.myrealtrip.com/offers/110121,Singapore,-9765,-8.79%,27.36%,20.36%
FALSE,FALSE,,,,2024-06-05,chloe.ang@klook.com,Attractions,Segment 1,130,Singapore Cable Car Sky Pass,186,Cable Car Sky Pass (Round Trip) ,8001300101,Adult,KRW,18400,35800,32200,,LOSE,30500,myrealtrip,,2024-06-05,https://www.myrealtrip.com/offers/128019,Singapore,-1700,-5.28%,42.86%,39.67%
FALSE,FALSE,,,,2024-06-05,chloe.ang@klook.com,Attractions,Segment 2,135,Wings of Time Show Ticket in Singapore,191,[Open Dated] Wings of Time (Standard) Ticket,8001350101, Per Person,KRW,11200,19400,17500,,LOSE,16600,kkday,Wings of Time Ticket,2024-06-05,https://www.kkday.com/en/product/19491,Singapore,-900,-5.14%,36.00%,32.53%
